id,Distance,Zb,Nonuniform,Unsteady Collacated,Unsteady Staggered
7230,3615.0,9.05281870730976,2.916467740209141,3.160435764738777,3.060365429105808
7231,3615.5,8.940956250009497,3.097575205065633,3.2601515857700725,3.187278559685488
7232,3616.0,8.976821449116459,3.043839509581359,3.2212196752676356,3.1430386044189595
7233,3616.5,8.984030650748142,3.0342514270481225,3.205455441799113,3.129473396882776
7234,3617.0,9.01151941789881,2.992226158155952,3.1807433877073543,3.099015316292975
7235,3617.5,9.015335204625744,2.9879444767218186,3.1932601026276757,3.1058034237546206
7236,3618.0,8.974208385393126,3.0550196515965475,3.2351024296131916,3.15593288391906
7237,3618.5,8.966384710527581,3.0688330243728084,3.224897546625702,3.1538901066746465
7238,3619.0,9.0080599455906,3.005012386668957,3.1623013901765966,3.090533371940682
7239,3619.5,9.05242264819534,2.934277665136382,3.0944768653834345,3.021546695653641
7240,3620.0,9.13218002894244,2.7956473786948277,3.0527430481791917,2.950118105615395
7241,3620.5,9.056217056727858,2.932453014273703,3.1521280904989646,3.0602575901623488
7242,3621.0,8.985785771796134,3.048291700721174,3.1984264351956084,3.129720573053079
7243,3621.5,9.040053449105814,2.9631779456698872,3.1198991503218596,3.048876526677869
7244,3622.0,9.124759039519573,2.818684058845218,3.0766146883721466,2.9740243032050433
7245,3622.5,9.03783419885546,2.9711214380572133,3.1874896501366,3.0974327802480532
7246,3623.0,8.978342747927869,3.0674909741479293,3.2522563521302073,3.172590649417591
7247,3623.5,8.96213562480085,3.0940114634739073,3.259871850374197,3.1863838423718187
7248,3624.0,8.969780430590383,3.0839219514958676,3.211640769241869,3.151616491636636
7249,3624.5,9.076813624486928,2.913428625873904,3.098035659698455,3.0185953718999117
7250,3625.0,9.122728725552728,2.8352368211795542,3.102648268701294,2.997147438729025
7251,3625.5,8.988245421667994,3.0611998708298365,3.220024565779953,3.149299993047648
7252,3626.0,9.027314018586925,3.001298705864901,3.1605981844499786,3.0897322097825133
7253,3626.5,9.095154112628611,2.8903869676847087,3.1170664376875306,3.0240231202607175
7254,3627.0,9.032151738801216,2.9974824908189586,3.171684944987278,3.0957187678363565
7255,3627.5,9.066820103854765,2.9426507000981115,3.156186108727165,3.0663450044483853
7256,3628.0,8.987405345043697,3.0716745757942054,3.172043571094323,3.120435660023169
7257,3628.5,9.162528851283705,2.7769693764366727,3.0216357447491586,2.9230516723567948
7258,3629.0,9.111932237135134,2.8720716716812515,3.078387531754584,2.991097833385339
7259,3629.5,9.09022678182154,2.911878983042946,3.081390734279226,3.0057280309216434
7260,3630.0,9.153523274514392,2.8016801039876005,3.047635904710775,2.948427692101291
7261,3630.5,9.07770815889711,2.9375966992923375,3.1067880273415116,3.031299444887583
7262,3631.0,9.127833174187224,2.853342609594678,3.069165354876114,2.978722662272783
7263,3631.5,9.088640539387091,2.9236082224914948,3.085274981604987,3.0119320643936427
7264,3632.0,9.166961880644635,2.7864425492154408,3.0450016444956196,2.9419625646915812
7265,3632.5,9.073596900999238,2.953317282944715,3.127226719654526,3.0503411880135456
7266,3633.0,9.1203691764256,2.875903197202782,3.1109884864500468,3.0140854529525294
7267,3633.5,9.02634082946548,3.03363266486466,3.16647596178968,3.103228958473935
7268,3634.0,9.136747692881515,2.8512931761492273,3.0746831847085843,2.9819189844239324
7269,3634.5,9.115892103124542,2.8903210398838017,3.1358711959018732,3.035763635866557
7270,3635.0,9.004830649938107,3.073036368164201,3.2296142745488416,3.158808964837974
7271,3635.5,9.04718452588591,3.0082773153059064,3.171265786993371,3.0982397965227038
7272,3636.0,9.107669507642427,2.9104793189706233,3.141642634599344,3.0454284880743914
7273,3636.5,9.005285138244822,3.0777081082337805,3.194867128559598,3.1368898991950105
7274,3637.0,9.130886065765894,2.874425260978462,3.0613312950502283,2.9796175980913886
7275,3637.5,9.18180200707894,2.7842873453410224,3.064276828185464,2.954870937646052
7276,3638.0,9.058929988208616,2.9995518648684105,3.199714866131369,3.1143797465900627
7277,3638.5,9.02505361772442,3.0549186378586675,3.22815749662521,3.1516110878445063
7278,3639.0,9.024083744083176,3.058117537722497,3.190796882973896,3.12846783037766
